YYYY-mm-dd,resp,decision,location,rec,pre,post
2025-02-18,MGB,rejected,2Cr12.09,sub,ἐμοῦ ἡ γὰρ δύναμις ἐν ἀσθενείᾳ τελεῖται,ἐμοῦ ἵνα ἡ δύναμις ἐν ἀσθενείᾳ δοκιμάσῃ
2025-02-18,MGB,rejected,Rom01.19,add,-,δοκεῖτε σεαυτὸν
2025-02-18,MGB,accepted,Rom02.14,sub,τὰ μὴ νόμον ἔχοντα,οἱ μὴ νόμον ἔχοντες
2025-02-18,MGB,rejected,Rom02.27,sub,τελοῦσα,φυλάσσουσα
2025-02-18,MGB,accepted,Rom05.06,sub,εἰς τί,ἔτι
2025-02-18,MGB,rejected,Rom05.10,del,ἐχθροὶ ὄντες,-
2025-02-18,MGB,rejected,Rom14.21,sub,ἢ σκανδαλίζεται,σκανδαλίζεται
2025-02-18,MGB,rejected,1Th03.05,sub,καθάπερ καὶ,καθὼς καὶ
2025-02-18,MGB,accepted,1Th04.07,del,ἐν ὅλῃ,-
2025-02-18,MGB,rejected,Col01.15,sub,ὅς,ὁ Χριστὸς
2025-02-18,MGB,rejected,Lao02.16,sub,ἀποκαταλλάξῃ,καὶ ἀποκαταλλάξῃ
2025-02-18,MGB,rejected,Lao05.31,sub,τοῦ,τούτου
2025-02-18,MGB,rejected,Lao06.16,sub,Διὰ δεήσεως ἐν καιρῷ,Διὰ δεήσεως προσευχόμενοι ἐν καιρῷ
2025-02-18,MGB,rejected,Php01.12,add,-,Τινὲς
2025-02-18,MGB,accepted,Php01.16,sub,οἱ,πολλοὶ
2025-02-18,MGB,accepted,Php01.17,sub,οἱ,ἕτεροι
2025-02-18,MGB,accepted,Php01.23,sub,τὴν ἐπιθυμίαν ἔχων,ἔχω τὴν ἐπιθυμίαν
2025-02-18,MGB,rejected,Php03.05,add,-,ἐγὼ ἤμην
2025-02-07,MV,confirmed,Rom04.03,del,τί γὰρ ἡ γραφὴ λέγει; ἐπίστευσεν δὲ Ἀβραὰμ τῷ θεῷ καὶ ἐλογίσθη αὐτῷ εἰς δικαιοσύνην,-
2025-01-24,MGB,accepted,Rom08.05,del,οἱ δὲ κατὰ πνεῦμα τὰ τοῦ πνεύματος,-
2025-01-24,MGB,accepted,Lao04.24,del,τὸν κατὰ θεὸν κτισθέντα ἐν δικαιοσύνῃ καὶ ὁσιότητι τῆς ἀληθείας,-
2024-11-12,MV,confirmed,2Cr01.20,del,δι᾽ ἡμῶν,-
2024-11-12,MV,confirmed,1Cr02.06,sub,λαλοῦμεν,λαλῶ
2024-11-12,MV,confirmed,1Cr02.07,sub,λαλοῦμεν,λαλῶ
2024-09-17,MV,confirmed,1Cr14.06,del,Νῦν δέ ἀδελφοί,-
2024-08-31,MV,confirmed,1Cr15.04,sub,τῇ ἡμέρᾳ τῇ τρίτῃ,μετὰ τρεῖς ἡμέρας
2024-08-11,MV,confirmed,1Cr09.19,del,Ἐλεύθερος γὰρ ὢν ἐκ πάντων πᾶσιν ἐμαυτὸν ἐδούλωσα ἵνα τοὺς πλείονας κερδήσω,-
2024-08-11,MGB,rejected,Gal01.01,sub,ἐν Γαλατίᾳ,πρὸς Γαλάτας
2024-08-11,MGB,rejected,1Cr01.01,sub,τῇ ἐκκλησίᾳ ἐν Κορίνθῳ,πρὸς Κορινθίους
2024-08-11,MGB,rejected,2Cr01.01,sub,τῇ ἐκκλησίᾳ τῇ ἐν Κορίνθῳ,πρὸς Κορινθίους
2024-08-11,MGB,rejected,1Th01.01,sub,τῇ ἐκκλησίᾳ Θεσσαλονικέων,πρὸς Θεσσαλονικεῖς
2024-08-11,MGB,rejected,2Th01.01,sub,τῇ ἐκκλησίᾳ Θεσσαλονικέων,πρὸς Θεσσαλονικεῖς
2024-08-11,MGB,rejected,Lao01.01,sub,ἐν Λαοδικείᾳ,πρὸς Λαοδικέας
2024-08-11,MGB,rejected,Col01.01,sub,τοῖς ἐν Κολοσσαῖς,πρὸς Κολοσσαεῖς
2024-08-11,MGB,rejected,Php01.01,sub,πᾶσιν ἐν Φιλίπποις,πρὸς Φιλιππησίους
2024-08-11,MGB,rejected,Phm01.01,sub,Φιλήμονι,πρὸς Φιλήμονα
2024-08-11,MGB,rejected,Gal01.01,sub,Παῦλος ἀπόστολος οὐκ,Παῦλος ἀπόστολος πρὸς Γαλάτας ἐγώ εἰμι οὐκ
2024-08-11,MGB,rejected,2Cr01.06,del,εἴτε δὲ θλιβόμεθα ὑπὲρ τῆς ὑμῶν παρακλήσεως καὶ σωτηρίας εἴτε παρακαλούμεθα ὑπὲρ τῆς ὑμῶν παρακλήσεως τῆς ἐνεργουμένης ἐν ὑπομονῇ τῶν αὐτῶν παθημάτων ὧν καὶ ἡμεῖς πάσχομεν,-
2024-08-11,MGB,rejected,2Cr01.08,del,Οὐ γὰρ θέλομεν ὑμᾶς ἀγνοεῖν ἀδελφοί ὑπὲρ τῆς θλίψεως ἡμῶν τῆς γενομένης ἐν τῇ Ἀσίᾳ ὅτι καθ᾽ ὑπερβολὴν ὑπὲρ δύναμιν ἐβαρήθημεν ὥστε ἐξαπορηθῆναι ἡμᾶς καὶ τοῦ ζῆν,-
2024-08-11,MGB,accepted,Rom01.05,del,δι᾽ οὗ ἐλάβομεν χάριν καὶ ἀποστολὴν εἰς ὑπακοὴν πίστεως,-
2024-08-11,MGB,rejected,Rom01.05,del,ἐν τοῖς ἔθνεσιν,-
2024-08-11,MGB,accepted,Rom01.05,del,πᾶσιν,-
2024-08-11,MGB,rejected,Rom01.05,del,τοῖς ἔθνεσιν ὑπὲρ τοῦ ὀνόματος αὐτοῦ,-
2024-08-11,MGB,accepted,Rom01.05,del,ὑπὲρ τοῦ ὀνόματος αὐτοῦ,-
2024-08-11,MGB,rejected,Rom01.07,del,πᾶσιν,-
2024-08-11,MGB,accepted,Rom01.07,del,τοῖς οὖσιν ἐν Ῥώμῃ,-
2024-08-11,MGB,accepted,Rom01.07,del,κλητοῖς ἁγίοις,-
2024-08-11,MGB,rejected,Rom01.07,del,ἀγαπητοῖς θεοῦ κλητοῖς ἁγίοις χάρις ὑμῖν καὶ εἰρήνη ἀπὸ θεοῦ πατρὸς καὶ κυρίου Ἰησοῦ Χριστοῦ,-
2024-08-11,MGB,rejected,Rom01.07,del,ἡμῶν,-
2024-08-11,MGB,rejected,Rom01.07,del,Χριστοῦ,-
2024-08-11,MGB,accepted,Rom01.07,del,πᾶσιν τοῖς οὖσιν ἐν Ῥώμῃ ἀγαπητοῖς θεοῦ κλητοῖς ἁγίοις χάρις ὑμῖν καὶ εἰρήνη ἀπὸ θεοῦ πατρὸς ἡμῶν καὶ κυρίου Ἰησοῦ Χριστοῦ,-
2024-08-11,MGB,rejected,1Th01.01,del,χάρις καὶ εἰρήνη ἀπὸ θεοῦ πατρὸς ἡμῶν καὶ κυρίου Ἰησοῦ,-
2024-08-11,MGB,rejected,2Th01.01,del,χάρις καὶ εἰρήνη ἀπὸ θεοῦ πατρὸς ἡμῶν καὶ κυρίου Ἰησοῦ,-
2024-08-11,MGB,rejected,Lao01.01,del,χάρις καὶ εἰρήνη ἀπὸ θεοῦ πατρὸς ἡμῶν καὶ κυρίου Ἰησοῦ,-
2024-08-11,MGB,rejected,Phl01.01,del,χάρις καὶ εἰρήνη ἀπὸ θεοῦ πατρὸς ἡμῶν καὶ κυρίου Ἰησοῦ,-
2024-08-11,MGB,rejected,1Th01.01,del,χάρις καὶ εἰρήνη ἀπὸ θεοῦ πατρὸς ἡμῶν καὶ κυρίου Ἰησοῦ,-
2024-07-21,MV,confirmed,Gal02.06,sub,οὐδέν μοι διαφέρει,οὐδὲν προσανέθεντο
2024-06-15,MGB,rejected,Gal01.19,sub,εἴ τις ὑμᾶς εὐαγγελίζεται,εἴ τις ὑμᾶς εὐαγγελίσεται παρ’ ὃ εὐαγγελισάμεθα ὑμῖν ἀνάθεμα ἔστω
2024-06-05,MV,confirmed,1Cr12.28,del,καὶ διδασκάλους καὶ δυνάμεις,-
2024-06-05,MV,confirmed,1Cr12.29,del,μὴ πάντες διδάσκαλοι μὴ πάντες δυνάμεις,-
2024-05-30,MV,confirmed,Gal01.16,del,οὐ προσανεθέμην σαρκὶ καὶ αἵματι,-
2024-05-30,MV,confirmed,Gal01.17,del,οὐδὲ ἦλθον εἰς Ἱεροσόλυμα,-
2024-05-30,MV,confirmed,Col02.13,del,πάντα,-
2024-05-30,MV,confirmed,Gal01.12,sub,Ἰησοῦ Χριστοῦ,θεοῦ
2024-05-13,MV,confirmed,Lao04.07,del,Ἑνὶ δὲ ἑκάστῳ ἡμῶν ἐδόθη ἡ χάρις κατὰ τὸ μέτρον τῆς δωρεᾶς τοῦ Χριστοῦ,-
2024-05-09,MV,confirmed,Rom03.19,del,τῷ θεῷ,-
2023-12-28,MGB,accepted,Gal03.01,add,-,Ὦ ἀνόητοι Γαλάται τίς ὑμᾶς ἐβάσκανεν
2023-12-28,MGB,rejected,Gal01.04,add,-,ὃς ἀπέθανεν σῶσαι
2023-12-28,MGB,accepted,Gal01.04,add,-,ἡμᾶς ἐκ τοῦ αἰῶνος τοῦ ἐνεστῶτος πονηρου
2023-12-28,MGB,rejected,Gal01.15,del,ἀφορίσας με,-
2023-12-28,MGB,accepted,Gal01.15,del,ἐκ κοιλίας μητρός μου καὶ,-
2023-12-28,MGB,rejected,Gal01.24,add,-,καὶ ἐδόξαζον τὸν κύριον
2023-12-28,MGB,rejected,Gal02.09,add,-,δοκοῦντες στῦλοι εἶναι
2023-12-28,MGB,accepted,Gal02.14,add,-,πῶς τὰ ἔθνη ἀναγκάζεις ἰουδαΐζειν
2023-12-20,MGB,rejected,Gal02.04,sub,καταδουλώσουσιν,καταδουλώσωσιν
2023-12-20,MGB,rejected,Gal01.11,sub,Γνωρίζω δὲ γὰρ ὑμῖν ἀδελφοί τὸ εὐαγγέλιον τὸ εὐαγγελισθὲν ὑπ' ἐμοῦ ὅτι οὐκ ἔστιν κατὰ ἄνθρωπον,τὸ εὐαγγέλιον τὸ εὐαγγελισθὲν ὑπ' ἐμοῦ οὐκ ἔστιν παρὰ ἀνθρώπων
2023-12-20,MGB,rejected,Gal01.12,sub,οὐδὲ γὰρ ἐγὼ παρὰ ἀνθρώπου παρέλαβον αὐτό οὐδὲ ἐδιδάχθην ἀλλὰ δι' ἀποκαλύψεως Ἰησοῦ Χριστοῦ,οὐδὲ δι᾽ ἀνθρώπου ἀλλὰ δι᾽ Ἰησοῦ Χριστοῦ
2023-12-19,MGB,accepted,Gal01.09,sub,εἴ τις ὑμᾶς εὐαγγελίζεται,εἴ τις ὑμᾶς εὐαγγελίσεται παρ’ ὃ εὐαγγελισάμεθα ὑμῖν ἀνάθεμα ἔστω
2023-11-16,MGB,rejected,Gal02.20,sub,ὃ δὲ νῦν ζῶ ἐν σαρκί ἐν πίστει ζῶ τῇ τοῦ θεοῦ καὶ Χριστοῦ τοῦ ἀγοράσαντός με καὶ παραδόντος ἑαυτὸν ὑπὲρ ἐμοῦ,ὃ ζῶ οὐκ ἐν σαρκί ἀλλά ἐκ πίστεώς τοῦ θεοῦ καὶ Χριστοῦ τοῦ ἀγοράσαντός με καὶ παραδόντος ἑαυτὸν ὑπὲρ ἐμοῦ
2023-11-16,MGB,rejected,Gal02.18,sub,ἃ κατέλυσα ταῦτα ἀνοικοδομῶ,ἃ κατέλυσα ταῦτα οὐκ ἀνοικοδομῶ
2023-11-10,MGB,accepted,Gal02.18,del,ἐν ὑμῖν,-
2023-11-10,MGB,rejected,Gal05.14,del,ἐν ὑμῖν,-
2023-11-10,MGB,accepted,1Cr03.16,del,ἐν ὑμῖν,-
2023-11-10,MGB,accepted,1Cr06.05,del,ἐν ὑμῖν,-
2023-11-10,MGB,accepted,1Cr11.18,del,ἐν ὑμῖν,-
2023-11-10,MGB,accepted,1Cr15.12,del,ἐν ὑμῖν,-
2023-11-10,MGB,rejected,2Cr01.19,del,ἐν ὑμῖν,-
2023-10-03,MV,confirmed,Gal01.06,del,Θαυμάζω ὅτι οὕτως ταχέως μετατίθεσθε,-
2023-10-03,MV,confirmed,Gal01.06,del,εἰς ἕτερον εὐαγγέλιον,-
2023-09-27,MGB,rejected,1Cr07.07,del,θέλω δὲ πάντας ἀνθρώπους εἶναι ὡς καὶ ἐμαυτόν,-
2023-09-27,MGB,accepted,1Cr07.08,del,Λέγω δὲ τοῖς ἀγάμοις καὶ ταῖς χήραις καλὸν αὐτοῖς ἐὰν μείνωσιν ὡς κἀγώ,-
2023-09-26,MGB,accepted,Gal04.11,del,φοβοῦμαι ὑμᾶς μή πως εἰκῇ κεκοπίακα εἰς ὑμᾶς,-
2023-09-26,MV,confirmed,Gal04.12,del,Γίνεσθε ὡς ἐγώ ὅτι κἀγὼ ὡς ὑμεῖς ἀδελφοί δέομαι ὑμῶν οὐδέν με ἠδικήσατε,-
2023-09-26,MV,confirmed,Gal04.13,del,οἴδατε δὲ ὅτι δι᾽ ἀσθένειαν τῆς σαρκὸς εὐηγγελισάμην ὑμῖν τὸ πρότερον,-
2023-09-26,MV,confirmed,Gal04.14,del,καὶ τὸν πειρασμὸν ὑμῶν ἐν τῇ σαρκί μου οὐκ ἐξουθενήσατε οὐδὲ ἐξεπτύσατε ἀλλὰ ὡς ἄγγελον θεοῦ ἐδέξασθέ με ὡς Χριστὸν Ἰησοῦν,-
2023-09-26,MV,confirmed,Gal04.15,del,ποῦ οὖν ὁ μακαρισμὸς ὑμῶν μαρτυρῶ γὰρ ὑμῖν ὅτι εἰ δυνατὸν τοὺς ὀφθαλμοὺς ὑμῶν ἐξορύξαντες ἐδώκατέ μοι,-
2023-09-26,MGB,accepted,Gal04.16,del,ὥστε ἐχθρὸς ὑμῶν γέγονα ἀληθεύων ὑμῖν,-
2023-09-26,MGB,accepted,1Th04.08,del,τοιγαροῦν ὁ ἀθετῶν οὐκ ἄνθρωπον ἀθετεῖ ἀλλὰ τὸν θεὸν τὸν καὶ διδόντα τὸ πνεῦμα αὐτοῦ τὸ ἅγιον εἰς ὑμᾶς,-
2023-09-26,MGB,accepted,1Cr10.27,del,εἴ τις καλεῖ ὑμᾶς τῶν ἀπίστων εἰς δεῖπνον καὶ θέλετε πορεύεσθαι πᾶν τὸ παρατιθέμενον ὑμῖν ἐσθίετε,-
2023-09-26,MGB,confirmed,1Cr10.25,del,τὸ ἐν μακέλλῳ πωλούμενον,-
2023-09-26,MGB,rejected,Gal04.21,del,Λέγετέ μοι οἱ ὑπὸ νόμον θέλοντες εἶναι τὸν νόμον οὐκ ἀκούετε,-
2023-09-20,MV,confirmed,Phl03.05,sub,περιτομῇ ὀκταήμερος ἐκ γένους Ἰσραήλ φυλῆς Βενιαμίν Ἑβραῖος ἐξ Ἑβραίων κατὰ νόμον Φαρισαῖος,περιτομῇ ἐκ γένους Ἑβραίου ἐξ Ἑβραίων ἐκ φυλῆς Βενιαμίν Φαρισαῖος
2023-08-23,MGB,accepted,Gal02.11,sub,Πέτρον κατὰ πρόσωπον ἀντέστην,Πρὸς Πέτρον κατὰ πρόσωπον ἀντέστην
2023-08-15,MGB,accepted,1Th4.09,del,θεοδίδακτοί,-
2023-07-11,MGB,accepted,Gal01.21,del,ἔπειτα ἦλθον εἰς τὰ κλίματα τῆς Συρίας καὶ τῆς Κιλικίας,-
2023-07-11,MGB,accepted,Gal01.22,del,ἤμην δὲ ἀγνοούμενος τῷ προσώπῳ ταῖς ἐκκλησίαις τῆς Ἰουδαίας ταῖς ἐν Χριστῷ,-
2023-07-11,MGB,accepted,Gal01.23,del,μόνον δὲ ἀκούοντες ἦσαν ὅτι Ὁ διώκων ἡμᾶς ποτε νῦν εὐαγγελίζεται τὴν πίστιν ἥν ποτε ἐπόρθει,-
2023-07-11,MGB,accepted,Gal01.24,del,καὶ ἐδόξαζον ἐν ἐμοὶ τὸν θεόν,-
2023-07-10,MGB,rejected,Gal01.18,sub,ἱστορῆσαι Πέτρον,ἀκούειν Πέτρου
2023-07-10,MGB,accepted,Gal01.19,sub,ἕτερον δὲ τῶν ἀποστόλων οὐκ εἶδον οὐδένα εἰ μὴ Ἰάκωβον τὸν ἀδελφὸν τοῦ κυρίου,καὶ τῶν ἑτέρων ἀποστόλων
2023-06-12,MGB,rejected,1Th04.09,add,-,Περὶ δὲ τῆς φιλαδελφίας
2023-06-08,MGB,accepted,Gal02.11,del,ὅτι κατεγνωσμένος ἦν,-
2023-06-08,MGB,accepted,Gal04.03,sub,δεδουλωμένοι,εἰς δουλείαν αὐτοῖς
2023-06-08,MGB,rejected,Gal04.03,sub,ἀλληγορούμενα,ἀλληγορικαὶ
2023-06-08,MGB,accepted,1Cr05.02,del,καὶ ὑμεῖς πεφυσιωμένοι ἐστέ καὶ οὐχὶ μᾶλλον ἐπενθήσατε ἵνα,-
2023-06-08,MGB,accepted,1Cr07.11,sub,ἐὰν δὲ καὶ,ἐὰν δὲ
2023-06-08,MGB,accepted,2Cr04.03,del,εἰ δὲ καὶ ἔστιν κεκαλυμμένον τὸ εὐαγγέλιον ἡμῶν ἐν τοῖς ἀπολλυμένοις ἐστὶν κεκαλυμμένον,-
2023-06-08,MGB,accepted,2Cr14.15,sub,δὲ καὶ,δὲ
2023-06-08,MV,confirmed,Lao01.05,del,εἰς αὐτόν κατὰ τὴν εὐδοκίαν τοῦ θελήματος αὐτοῦ,-
2023-06-08,MV,confirmed,Lao01.06,del,εἰς ἔπαινον δόξης τῆς χάριτος αὐτοῦ,-
2023-06-08,MV,confirmed,Lao01.19,del,κατὰ τὴν ἐνέργειαν τοῦ κράτους τῆς ἰσχύος αὐτοῦ,-
2023-06-08,MV,confirmed,Lao05.02,del,εἰς ὀσμὴν εὐωδίας,-
2023-06-05,MV,confirmed,2Th02.11,del,καὶ διὰ τοῦτο πέμπει αὐτοῖς ὁ θεὸς ἐνέργειαν πλάνης εἰς τὸ πιστεῦσαι αὐτοὺς τῷ ψεύδει,-
2023-06-04,MV,confirmed,Rom01.19,del,διότι τὸ γνωστὸν τοῦ θεοῦ φανερόν ἐστιν ἐν αὐτοῖς ὁ θεὸς γὰρ αὐτοῖς ἐφανέρωσεν,-
2023-06-04,MV,confirmed,Rom01.20,del,τὰ γὰρ ἀόρατα αὐτοῦ ἀπὸ κτίσεως κόσμου τοῖς ποιήμασιν νοούμενα καθορᾶται ἥ τε ἀΐδιος αὐτοῦ δύναμις καὶ θειότης εἰς τὸ εἶναι αὐτοὺς ἀναπολογήτους,-
2023-06-04,MV,confirmed,Rom01.21,del,διότι γνόντες τὸν θεὸν οὐχ ὡς θεὸν ἐδόξασαν ἢ ηὐχαρίστησαν ἀλλ᾽ ἐματαιώθησαν ἐν τοῖς διαλογισμοῖς αὐτῶν καὶ ἐσκοτίσθη ἡ ἀσύνετος αὐτῶν καρδία,-
2023-06-04,MV,confirmed,Rom01.22,del,φάσκοντες εἶναι σοφοὶ ἐμωράνθησαν,-
2023-06-04,MV,confirmed,Rom01.23,del,καὶ ἤλλαξαν τὴν δόξαν τοῦ ἀφθάρτου θεοῦ ἐν ὁμοιώματι εἰκόνος φθαρτοῦ ἀνθρώπου καὶ πετεινῶν καὶ τετραπόδων καὶ ἑρπετῶν,-
2023-05-31,MGB,accepted,Gal04.18,sub,ἐν τῷ παρεῖναί με,ἐγὼ παρὼν
2023-05-31,MGB,accepted,Gal04.20,sub,ἤθελον δὲ,θέλω
2023-05-31,MGB,accepted,1Cr14.05,sub,θέλω δὲ,θέλω
2023-05-31,MGB,accepted,Gal04.21,del,Λέγετέ μοι,-
2023-05-31,MGB,accepted,Rom07.05,sub,ὅτε γὰρ,ὅτε δὲ
2023-05-31,MGB,accepted,1Th04.09,del,οὐ χρείαν ἔχομεν γράφειν ὑμῖν αὐτοὶ γὰρ ὑμεῖς θεοδίδακτοί ἐστε,-
2023-05-30,MGB,accepted,1Th04.10,del,παρακαλοῦμεν δὲ ὑμᾶς,-
2023-05-30,MGB,accepted,2Th03.12,del,καὶ παρακαλοῦμεν,-
2023-05-30,MGB,accepted,1Cr04.13,del,παρακαλοῦμεν,-
2023-05-29,MGB,accepted,1Th02.14,del,τὰ αὐτὰ,-
2023-05-29,MGB,accepted,Gal01.19,sub,Ἰησοῦν τὸν κύριον,Ἰησοῦν κύριον
2023-05-28,MGB,accepted,2Cr12.01,del,Καυχᾶσθαι δεῖ οὐ συμφέρον μέν ἐλεύσομαι δὲ εἰς ὀπτασίας καὶ ἀποκαλύψεις κυρίου,-
2023-05-28,MGB,accepted,1Cr09.16,sub,ἐὰν γὰρ εὐαγγελίζωμαι οὐκ ἔστιν μοι καύχημα ἀνάγκη γάρ μοι ἐπίκειται οὐαὶ γάρ μοί ἐστιν ἐὰν μὴ εὐαγγελίσωμαι,ἐὰν εὐαγγελίζωμαι οὐκ ἔστιν μοι χάρις οὐαὶ μοί ἐὰν μὴ εὐαγγελίσωμαι
2023-05-27,MGB,accepted,Gal01.19,del,ἕτερον δὲ τῶν ἀποστόλων οὐκ εἶδον οὐδένα εἰ μὴ Ἰάκωβον τὸν ἀδελφὸν τοῦ κυρίου,-
2023-05-27,MGB,accepted,Gal01.18,del,καὶ ἐπέμεινα πρὸς αὐτὸν ἡμέρας δεκαπέντε,-
2023-05-27,MGB,accepted,Gal01.19,del,ἕτερον δὲ τῶν ἀποστόλων οὐκ εἶδον οὐδένα εἰ μὴ Ἰάκωβον τὸν ἀδελφὸν τοῦ κυρίου,-
2023-05-27,MGB,accepted,1Cr09.01,sub,Ἰησοῦν τὸν κύριον,Ἰησοῦν κύριον 
2023-05-27,MGB,accepted,Gal01.20,del,ἃ δὲ γράφω ὑμῖν ἰδοὺ ἐνώπιον τοῦ θεοῦ ὅτι οὐ ψεύδομαι,-
2023-05-27,MGB,rejected,Gal02.02,del,ἀνέβην δὲ κατὰ ἀποκάλυψιν,-
2023-05-26,MV,confirmed,1Cr15.23,del,Ἕκαστος δὲ ἐν τῷ ἰδίῳ τάγματι,-
2023-05-26,MV,confirmed,1Cr15.24,del,τὸ τέλος ὅταν παραδιδῷ τὴν βασιλείαν τῷ θεῷ καὶ πατρί ὅταν καταργήσῃ πᾶσαν ἀρχὴν καὶ πᾶσαν ἐξουσίαν,-
